marca,modelo,ano,km,preco_eur,combustivel,transmissao,condicao,localizacao,data_anuncio,url,titulo,imagem_url,pagina_origem,recolhido_em
BMW,i5 eDrive40,2025.0,22873.0,58500.0,,,,Moure,Para o topo a 20 de junho de 2026,https://www.standvirtual.com/carros/anuncio/bmw-i5-edrive40-pack-desportivo-m-ID8Q0e3f.html,BMW i5 eDrive40 Pack Desportivo M,https://ireland.apollo.olxcdn.com:443/v1/files/4huduq5f6ogu2-PT/image;s=159x106;q=50,1,2026-06-21 23:45
BMW,X3 30,2020.0,169990.0,33900.0,,,,Quarteira,Para o topo hoje às 09:56,https://www.standvirtual.com/carros/anuncio/bmw-x3-30-e-xdrive-pack-m-ID8Q0vz0.html,BMW X3 30 e xDrive Pack M,https://ireland.apollo.olxcdn.com:443/v1/files/bwigeqfadacu3-PT/image;s=189x106;q=50,1,2026-06-21 23:45
BMW,X1 16,2016.0,338000.0,12990.0,,,,Matosinhos E Leça Da Palmeira,Para o topo hoje às 20:46,https://www.standvirtual.com/carros/anuncio/bmw-x1-16-d-sdrive-line-sport-ID8Q0zbg.html,BMW X1 16 d sDrive Line Sport,https://ireland.apollo.olxcdn.com:443/v1/files/ljw5zz03472j-PT/image;s=150x112;q=50,1,2026-06-21 23:45
BMW,M2 Competition,2018.0,119990.0,53950.0,,,,Seroa,Para o topo hoje às 21:56,https://www.standvirtual.com/carros/anuncio/bmw-m2-competition-dkg-ID8Q0zjX.html,BMW M2 Competition DKG,https://ireland.apollo.olxcdn.com:443/v1/files/fbc8g5plmtqk-PT/image;s=150x115;q=50,1,2026-06-21 23:45
BMW,120 D,2005.0,305000.0,6999.0,,,,São Domingos de Rana,Para o topo hoje às 20:15,https://www.olx.pt/d/anuncio/bmw-120-d-163cv-caixa-automtica-nacional-2005-desde-143-ms-IDJdyT5.html?search_reason=search%7Corganic,BMW 120 D 163cv | Caixa Automática | Nacional | 2005 | Desde 143€ Mês,https://ireland.apollo.olxcdn.com:443/v1/files/6rn2u9b73t3i-PT/image;s=150x113;q=50,1,2026-06-21 23:45
BMW,M4 Cabrio,2016.0,86500.0,49990.0,,,,Golães,Para o topo hoje às 20:08,https://www.olx.pt/d/anuncio/bmw-m4-cabrio-de-2016-IDJsrgJ.html?search_reason=search%7Corganic,BMW M4 Cabrio de 2016,,1,2026-06-21 23:45
BMW,525D Touring,2011.0,282000.0,11900.0,,,,São Domingos de Rana,Para o topo hoje às 22:05,https://www.olx.pt/d/anuncio/bmw-525d-touring-line-luxury-IDJi5UM.html?search_reason=search%7Corganic,Bmw 525D Touring | Line Luxury,,1,2026-06-21 23:45
BMW,520d Pack,2015.0,235000.0,15390.0,,,,"Seixal, Arrentela E Aldeia De Paio Pires",Hoje às 14:53,https://www.olx.pt/d/anuncio/bmw-520d-pack-m-auto-teto-abrir-full-extras-histrico-bmw-aceito-retoma-IDJr9qh.html?search_reason=search%7Corganic,BMW 520d Pack M Auto | Teto Abrir | Full Extras | Histórico BMW | Aceito Retoma,,1,2026-06-21 23:45
BMW,F10 530D,2010.0,319000.0,13990.0,,,,Viseu,Para o topo hoje às 19:00,https://www.olx.pt/d/anuncio/bmw-f10-530d-3-0-245cv-impecvel-IDJqF4U.html?search_reason=search%7Corganic,Bmw F10 530D 3.0 245cv Impecável,,1,2026-06-21 23:45
BMW,530e Pack,2022.0,120000.0,33900.0,,,,Vila Nova De Famalicão E Calendário,Para o topo hoje às 18:52,https://www.olx.pt/d/anuncio/bmw-530e-pack-m-special-edition-292cvs-hbrida-plug-in-IDJkYIf.html?search_reason=search%7Corganic,BMW 530e Pack M special edition 292cvs híbrida plug in,,1,2026-06-21 23:45
BMW,i4 eDrive40,2023.0,23000.0,39950.0,,,,Santo Antão E São Julião Do Tojal,Para o topo hoje às 23:30,https://www.standvirtual.com/carros/anuncio/bmw-i4-edrive40-pack-desportivo-m-ID8Q0n26.html,BMW i4 eDrive40 Pack Desportivo M,,1,2026-06-21 23:45
